event_name,instrument,ticker,sentiment_rule
ISM Manufacturing PMI,ES,ES=F,Actual > Forecast = Bullish
ISM Manufacturing PMI,ZN,ZN=F,Actual > Forecast = Bullish
ISM Manufacturing Employment,ES,ES=F,Actual > Forecast = Bullish
ISM Manufacturing New Orders,ES,ES=F,Actual > Forecast = Bullish
ISM Manufacturing Prices,ZN,ZN=F,Actual < Forecast = Bullish
ISM Non-Manufacturing PMI,ES,ES=F,Actual > Forecast = Bullish
ISM Non-Manufacturing PMI,ZN,ZN=F,Actual > Forecast = Bullish
ISM Non-Manufacturing Employment,ES,ES=F,Actual > Forecast = Bullish
ISM Non-Manufacturing New Orders,ES,ES=F,Actual > Forecast = Bullish
ISM Non-Manufacturing Prices,ZN,ZN=F,Actual < Forecast = Bullish
ISM Non-Manufacturing Business Activity,ES,ES=F,Actual > Forecast = Bullish
S&P Global Manufacturing PMI,ES,ES=F,Actual > Forecast = Bullish
S&P Global Services PMI,ES,ES=F,Actual > Forecast = Bullish
S&P Global Composite PMI,ES,ES=F,Actual > Forecast = Bullish
Chicago PMI,ES,ES=F,Actual > Forecast = Bullish
Michigan Consumer Sentiment,ES,ES=F,Actual > Forecast = Bullish
Michigan Consumer Expectations,ES,ES=F,Actual > Forecast = Bullish
Michigan Current Conditions,ES,ES=F,Actual > Forecast = Bullish
Michigan 1-Year Inflation Expectations,ZN,ZN=F,Actual < Forecast = Bullish
Michigan 5-Year Inflation Expectations,ZN,ZN=F,Actual < Forecast = Bullish
Consumer Confidence,ES,ES=F,Actual > Forecast = Bullish
Consumer Credit,ES,ES=F,Actual > Forecast = Bullish
IBD/TIPP Economic Optimism,ES,ES=F,Actual > Forecast = Bullish
Housing Starts,ZN,ZN=F,Actual > Forecast = Bullish
Housing Starts,ES,ES=F,Actual > Forecast = Bullish
Building Permits,ZN,ZN=F,Actual > Forecast = Bullish
New Home Sales,ZN,ZN=F,Actual > Forecast = Bullish
New Home Sales,ES,ES=F,Actual > Forecast = Bullish
Existing Home Sales,ES,ES=F,Actual > Forecast = Bullish
Pending Home Sales (MoM),ES,ES=F,Actual > Forecast = Bullish
MBA Mortgage Applications,ZN,ZN=F,Actual > Forecast = Bullish
MBA Purchase Index,ZN,ZN=F,Actual > Forecast = Bullish
Nonfarm Productivity (QoQ),ES,ES=F,Actual > Forecast = Bullish
Unit Labor Costs (QoQ),ZN,ZN=F,Actual < Forecast = Bullish
Unit Labor Costs (QoQ),ES,ES=F,Actual < Forecast = Bullish
Trade Balance,ES,ES=F,Actual > Forecast = Bullish
GDP (QoQ),ES,ES=F,Actual > Forecast = Bullish
GDP (QoQ),ZN,ZN=F,Actual > Forecast = Bullish
GDP Price Index (QoQ),ZN,ZN=F,Actual < Forecast = Bullish
Atlanta Fed GDPNow,ES,ES=F,Actual > Forecast = Bullish
Industrial Production (MoM),ES,ES=F,Actual > Forecast = Bullish
Capacity Utilization Rate,ES,ES=F,Actual > Forecast = Bullish
Wholesale Inventories (MoM),ES,ES=F,Actual < Forecast = Bullish
Fed Interest Rate Decision,ES,ES=F,Actual < Forecast = Bullish
Fed Interest Rate Decision,ZN,ZN=F,Actual < Forecast = Bullish
EIA Crude Oil Inventories,Crude Oil,CL=F,Actual < Forecast = Bullish
Crude Oil Inventories,Crude Oil,CL=F,Actual < Forecast = Bullish
API Weekly Crude Oil Stock,Crude Oil,CL=F,Actual < Forecast = Bullish
Cushing Crude Oil Inventories,Crude Oil,CL=F,Actual < Forecast = Bullish
Gasoline Inventories,Gasoline,RB=F,Actual < Forecast = Bullish
EIA Gasoline Inventories,Gasoline,RB=F,Actual < Forecast = Bullish
Heating Oil Stockpiles,Heating Oil,HO=F,Actual < Forecast = Bullish
EIA Weekly Distillates Stocks,Heating Oil,HO=F,Actual < Forecast = Bullish
EIA Distillate Inventories,Heating Oil,HO=F,Actual < Forecast = Bullish
Distillate Fuel Inventories,Heating Oil,HO=F,Actual < Forecast = Bullish
Natural Gas Storage,Natural Gas,NG=F,Actual > Forecast = Bullish
EIA Natural Gas Storage,Natural Gas,NG=F,Actual > Forecast = Bullish
Baker Hughes Oil Rig Count,Crude Oil,CL=F,Actual < Forecast = Bullish
U.S. Baker Hughes Total Rig Count,Crude Oil,CL=F,Actual < Forecast = Bullish
CFTC S&P 500 speculative net positions,ES,ES=F,Actual > Forecast = Bullish
CFTC Nasdaq 100 speculative net positions,NQ,NQ=F,Actual > Forecast = Bullish
CFTC Gold speculative net positions,Gold,GC=F,Actual > Forecast = Bullish
CFTC Crude Oil speculative net positions,Crude Oil,CL=F,Actual > Forecast = Bullish
CB Consumer Confidence,ES,ES=F,Actual > Forecast = Bullish
NY Fed 1-Year Consumer Inflation Expectations,ZN,ZN=F,Actual < Forecast = Bullish
NY Fed 1-Year Consumer Inflation Expectations,ES,ES=F,Actual < Forecast = Bullish
CB Employment Trends Index,ES,ES=F,Actual > Forecast = Bullish
3-Month Bill Auction,ZN,ZN=F,Actual < Forecast = Bullish
6-Month Bill Auction,ZN,ZN=F,Actual < Forecast = Bullish
Total Vehicle Sales,ES,ES=F,Actual > Forecast = Bullish
Redbook (YoY),ES,ES=F,Actual > Forecast = Bullish
